Title,Company,High,Low,Price,Volume,Change,,% Change
ATAX,Amer First Mf Inv,6.200,6.170,6.170,771,-0.030,,0.48,
ATEC,Alphatec Holdings,3.310,3.300,3.310,831,0.010,,0.30,
ATHN,Athenahealth Inc,143.0,141.1,141.8,"52,269",0.2,,0.15,
ATHX,Athersys Inc,1.940,1.840,1.870,"180,882",-0.040,,2.09,
ATLC,Atlanticus Hldg Cp,2.140,2.010,2.140,700,0.060,,2.88,
ATLO,Ames Natl Corp,28.50,27.20,27.20,986,0.10,,0.37,
ATNI,Atn International,60.37,58.74,60.10,"3,546",0.27,,0.45,
ATNX,Athenex Inc,17.96,17.55,17.63,"23,367",-0.37,,2.06,
ATOM,Atomera Inc,6.790,6.550,6.580,"3,884",-0.140,,2.08,
ATOS,Atossa Genetics Inc,0.4400,0.4200,0.4300,"94,484",0.0000,,0.00,
ATRA,Atara Biotherap,38.00,37.10,37.55,"294,347",0.20,,0.54,
ATRC,Atricure Inc,20.46,19.98,20.15,"29,807",-0.15,,0.74,
ATRI,Atrion Corp,625.5,607.0,607.0,"3,086",0.9,,0.14,
ATRO,Astronics Cp,36.65,36.16,36.55,"21,185",0.32,,0.88,
ATRS,Antares Pharma,2.190,2.090,2.090,"309,824",0.000,,0.00,
ATSG,Air Transport,23.54,23.16,23.42,"19,206",0.04,,0.17,
ATTU,Attunity Ltd,7.200,7.200,7.200,705,-0.050,,0.69,
ATVI,Activision Blizzard,67.66,66.68,66.83,"1,037,968",0.56,,0.85,
ATXI,Avenue Therapeutics Inc,5.200,4.950,4.950,"4,432",0.030,,0.61,
AUBN,Auburn Natl Bncp I,38.78,38.11,38.11,600,-0.10,,0.26,
AUDC,Audiocodes Ltd,6.970,6.950,6.970,"1,890",0.040,,0.58,
AUPH,Aurinia Pharm Ord,5.290,5.200,5.200,"30,991",-0.090,,1.70,
AUTO,Autoweb Inc,3.070,3.020,3.020,"1,075",-0.010,,0.33,
AVAV,Aerovironment Inc,46.85,45.94,46.22,"17,513",-0.09,,0.19,
AVDL,Avadel Pharmaceuticals Plc,7.540,7.300,7.490,"35,950",0.020,,0.27,
AVEO,Aveo Pharmaceuticals,2.660,2.600,2.600,"240,293",-0.030,,1.14,
AVGO,Broadcom Ltd,241.4,237.3,239.7,"648,276",2.7,,1.14,
AVGR,Avinger Inc,1.200,1.150,1.160,"93,958",-0.040,,3.33,
AVHI,A V Homes Inc,19.05,18.40,19.00,"19,497",0.60,,3.26,
AVID,Avid Tech Inc,4.570,4.510,4.560,"9,165",0.040,,0.88,
AVNW,Aviat Networks Inc,16.95,16.80,16.94,"1,291",0.32,,1.93,
AVXL,Anavex Lf SC,2.460,2.400,2.420,"26,562",-0.020,,0.82,
AVXS,Avexis Inc,122.9,120.7,121.3,"17,079",-0.6,,0.48,
AWRE,Aware Inc,4.150,4.000,4.110,"10,856",-0.075,,1.79,
AXAS,Abraxas Petro Corp,2.310,2.200,2.310,"403,510",0.120,,5.48,
AXDX,Accelerate Diagnosti,23.45,22.90,23.20,"21,716",-0.10,,0.43,
AXGN,Axogen Inc,37.10,36.85,37.09,"64,486",0.44,,1.20,
AXON,Axovant Sciences Ltd,1.280,1.230,1.240,"53,224",-0.015,,1.20,
AXSM,Axsome Thera,2.480,2.300,2.350,"9,394",0.000,,0.00,
AXTI,Axt Inc,7.300,7.100,7.150,"24,194",-0.050,,0.69,
AY,Atlantica Yield Plc,19.89,19.73,19.89,"14,308",0.11,,0.56,
AYTU,Aytu Bioscience Inc,0.5200,0.4900,0.5200,"445,499",0.0300,,6.12,
AZPN,Aspen Technology,79.85,78.82,79.39,"40,580",0.62,,0.79,
AZRX,Azurrx Biopharma Inc,3.060,3.020,3.020,635,-0.050,,1.63,
BABY,Natus Medical Inc,33.75,33.35,33.75,"15,687",0.35,,1.05,
BAND,Bandwidth Inc,32.49,31.20,31.20,"7,291",-0.30,,0.95,
